# Max value = 2.37e-01, Min value = 9.82e-04
x f1 f2 f3 
1 0.0590562 0.0570248 0.115883 
2 0.0600211 0.0429359 0.136846 
3 0.059428 0.0383528 0.134396 
4 0.060631 0.0339588 0.148059 
5 0.0629614 0.0318447 0.152833 
6 0.0644588 0.0303431 0.162797 
7 0.066036 0.0310317 0.172396 
8 0.0683649 0.0329501 0.178352 
9 0.071497 0.0359657 0.180806 
10 0.0728577 0.0393608 0.191951 
11 0.0757427 0.0393752 0.198894 
12 0.0822901 0.0442458 0.205844 
13 0.0869235 0.0498368 0.218862 
14 0.0914739 0.0572108 0.224523 
15 0.0997936 0.0689324 0.224197 
16 0.105131 0.0791432 0.224615 
17 0.111028 0.0837851 0.23099 
18 0.119807 0.0902537 0.2324 
19 0.12492 0.10221 0.22661 
20 0.129808 0.111033 0.219291 
21 0.132635 0.123499 0.211395 
22 0.139279 0.133249 0.202052 
23 0.14231 0.127668 0.190002 
24 0.146919 0.14632 0.180815 
25 0.14941 0.153787 0.161369 
26 0.153125 0.169245 0.148331 
27 0.162179 0.179615 0.130416 
28 0.164454 0.19038 0.109545 
29 0.171 0.20305 0.0940749 
30 0.175068 0.214413 0.0767752 
31 0.177668 0.226033 0.0590654 
32 0.178177 0.227382 0.0490355 
33 0.183148 0.225881 0.0576137 
34 0.183047 0.231494 0.0243097 
35 0.184213 0.237166 0.0192567 
36 0.185257 0.234492 0.0150122 
37 0.184853 0.228203 0.0105771 
38 0.183453 0.22232 0.0127104 
39 0.181049 0.209809 0.00849597 
40 0.180128 0.194256 0.0101732 
41 0.173043 0.183665 0.0126803 
42 0.171521 0.168501 0.0060652 
43 0.168927 0.14922 0.0112533 
44 0.162657 0.137309 0.0118849 
45 0.159122 0.112522 0.00858533 
46 0.15109 0.0981423 0.0238985 
47 0.143105 0.0855589 0.0104508 
48 0.13829 0.0733671 0.00438064 
49 0.126189 0.0577589 0.0101857 
50 0.119838 0.0464089 0.0094225 
51 0.110069 0.0361215 0.0100595 
52 0.0974164 0.0274551 0.00212901 
53 0.0858654 0.0199076 0.00896477 
54 0.0758036 0.0125589 0.00098224 
55 0.0670315 0.00950838 0.0122245 
56 0.055823 0.00712614 0.0147868 
57 0.0456896 0.00783858 0.00582564 
58 0.0367276 0.00451365 0.00192377 
59 0.0301309 0.00247256 0.00688277 
60 0.024232 0.00461978 0.00862158 
61 0.0196851 0.0047751 0.00848322 
